Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),Log Kow,pKa,Stokes Radius/Compound size ,Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential,Draw Solution,DS MW (g mol-1),DS Concentration (M),Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number,,,,,,,,,,,,,,,,,,
Etiocholanolone,Hormones,7.50E-04,290.44,0,3.93,3.93,15.14,0.42,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,87,,,,,,,,,,,,,,,,,,
Androsterone,Hormones,7.50E-04,290.44,0,3.93,3.93,15.14,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,88,,,,,,,,,,,,,,,,,,
17-alpha-Ethinyl estradiol,Hormones,7.50E-04,296.4,0,3.98,4.11,10.24,0.31,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,89,,,,,,,,,,,,,,,,,,
Salicylic Acid,Personal care product,7.50E-04,138.12,-1,-1.13,2.26,3.01,0.53,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,5.55,(Alturki et al. 2013),5,,90,,,,,,,,,,,,,,,,,,
Paracetamol,Pharmaceutical,7.50E-04,151.16,0,0.47,0.47,9.86,0.36,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,18,(Alturki et al. 2013),5,,91,,,,,,,,,,,,,,,,,,
Propylparaben,Pharmaceutical,7.50E-04,180.2,0,2.88,2.9,8.23,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,65,(Alturki et al. 2013),5,,92,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,7.50E-04,194.19,0,-0.63,-0.63,0.52,0.34,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,67,(Alturki et al. 2013),5,,93,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,7.50E-04,206.28,-1,0.94,3.5,4.41,0.44,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,79.5,(Alturki et al. 2013),5,,94,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,7.50E-04,218.25,0,0.83,0.83,12.26,0.46,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,84,(Alturki et al. 2013),5,,95,,,,,,,,,,,,,,,,,,
Meprobamate,Pharmaceutical,7.50E-04,218.25,0,-1.34,0.7,13.09,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,87,(Alturki et al. 2013),5,,96,,,,,,,,,,,,,,,,,,
Naproxen,Pharmaceutical,7.50E-04,230.26,-1,0.34,2.88,4.84,0.43,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,83.2,(Alturki et al. 2013),5,,97,,,,,,,,,,,,,,,,,,
Gemfibrozil,Pharmaceutical,7.50E-04,250.33,-1,2.3,4.3,4.75,0.48,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,70.3,(Alturki et al. 2013),5,,98,,,,,,,,,,,,,,,,,,
Dilantin,Pharmaceutical,7.50E-04,252.27,0,1.42,1.42,8.28,0.55,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,86.6,(Alturki et al. 2013),5,,99,,,,,,,,,,,,,,,,,,
Triamterene,Pharmaceutical,7.50E-04,253.26,-1,1.03,1.16,6.28,0.49,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,86,(Alturki et al. 2013),5,,100,,,,,,,,,,,,,,,,,,
Ketoprofen,Pharmaceutical,7.50E-04,254.28,-1,0.19,2.91,4.23,0.46,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,90.3,(Alturki et al. 2013),5,,101,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,7.50E-04,266.34,1,-2.67,0.33,9.43,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,97.3,(Alturki et al. 2013),5,,102,,,,,,,,,,,,,,,,,,
Amitriptyline,Pharmaceutical,7.50E-04,277.4,1,1.57,4.41,9.18,0.51,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,103,,,,,,,,,,,,,,,,,,
Triclosan,Detergent,7.50E-04,289.54,0,4.93,5.17,7.8,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,91.7,(Alturki et al. 2013),5,,104,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,7.50E-04,290.32,1,0.26,0.59,7.04,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,94.6,(Alturki et al. 2013),5,,105,,,,,,,,,,,,,,,,,,
Diclofenac,Pharmaceutical,7.50E-04,296.25,-1,1.77,4.55,4.18,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,87.6,(Alturki et al. 2013),5,,106,,,,,,,,,,,,,,,,,,
Fluoxetine,Pharmaceutical,7.50E-04,309.33,1,1.15,3.93,10.05,0.53,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,95.7,(Alturki et al. 2013),5,,107,,,,,,,,,,,,,,,,,,
Triclocarban,Herbicide,7.50E-04,315.58,0,6.07,6.07,12.77,0.5,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,98,(Alturki et al. 2013),5,,108,,,,,,,,,,,,,,,,,,
Clozapine,Pharmaceutical,7.50E-04,326.82,1,2.17,3.94,7.33,0.61,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,96.2,(Alturki et al. 2013),5,,109,,,,,,,,,,,,,,,,,,
Omeprazole,Pharmaceutical,7.50E-04,345.42,0,2.35,2.36,8.78,0.57,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,96.3,(Alturki et al. 2013),5,,110,,,,,,,,,,,,,,,,,,
Hydroxyzine,Pharmaceutical,7.50E-04,374.9,1,2.15,2.32,14.41,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,97.8,(Alturki et al. 2013),5,,111,,,,,,,,,,,,,,,,,,
Risperidone,Pharmaceutical,7.50E-04,410.48,0,1.53,2.68,8.07,0.58,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,98.6,(Alturki et al. 2013),5,,112,,,,,,,,,,,,,,,,,,
Simvastatin,Pharmaceutical,7.50E-04,418.57,0,4.72,4.72,13.49,0.57,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,98.6,(Alturki et al. 2013),5,,113,,,,,,,,,,,,,,,,,,
Simvastatin hydroxy acid,Pharmaceutical,7.50E-04,436.58,-1,1.79,4.53,4.31,0.5,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,99.5,(Alturki et al. 2013),5,,114,,,,,,,,,,,,,,,,,,
Verapamil,Pharmaceutical,7.50E-04,454.6,0,2.5,4.02,8.97,0.54,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,98.6,(Alturki et al. 2013),5,,115,,,,,,,,,,,,,,,,,,
DEET,Pesticide,7.50E-04,191.27,0,2.42,2.42,-1.37,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,57,(Alturki et al. 2013),5,,116,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,7.50E-04,215.68,0,2.64,2.64,2.27,0.4,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,49,(Alturki et al. 2013),5,,117,,,,,,,,,,,,,,,,,,
Linuron,Pesticide,7.50E-04,249.09,0,3.12,3.12,12.13,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,27,(Alturki et al. 2013),5,,118,,,,,,,,,,,,,,,,,,
4-tert-Octylphenol,Detergent,7.50E-04,206.32,0,5.18,5.18,10.15,0.37,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,30,(Alturki et al. 2013),5,,119,,,,,,,,,,,,,,,,,,
4-Nonylphenol,Endocrine disrupting chemicals,7.50E-04,220.35,0,6.14,6.14,10.15,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,97,(Alturki et al. 2013),5,,120,,,,,,,,,,,,,,,,,,
Estrone,Hormones,7.50E-04,270.37,0,3.62,3.62,10.25,0.34,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,80,(Alturki et al. 2013),5,,121,,,,,,,,,,,,,,,,,,
17beta-estradiol,Hormones,7.50E-04,272.38,0,4.15,4.14,10.27,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,80,(Alturki et al. 2013),5,,122,,,,,,,,,,,,,,,,,,
17alpha-Estradiol,Hormones,7.50E-04,272.38,0,4.15,4.14,10.27,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,81,(Alturki et al. 2013),5,,123,,,,,,,,,,,,,,,,,,
Androstenedione,Hormones,7.50E-04,286.41,0,2.72,2.72,,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,90,(Alturki et al. 2013),5,,124,,,,,,,,,,,,,,,,,,
Estriol,Hormones,7.50E-04,288.38,0,2.53,2.53,10.25,0.32,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,86,(Alturki et al. 2013),5,,125,,,,,,,,,,,,,,,,,,
Testosterone,Hormones,7.50E-04,288.42,0,3.18,3.18,15.06,0.44,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,89,(Alturki et al. 2013),5,,126,,,,,,,,,,,,,,,,,,
Etiocholanolone,Hormones,7.50E-04,290.44,0,3.93,3.93,15.14,0.42,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,93,(Alturki et al. 2013),5,,127,,,,,,,,,,,,,,,,,,
Androsterone,Hormones,7.50E-04,290.44,0,3.93,3.93,15.14,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,91,(Alturki et al. 2013),5,,128,,,,,,,,,,,,,,,,,,
17-alpha-Ethinyl estradiol,Hormones,7.50E-04,296.4,0,3.98,4.11,10.24,0.31,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,25,9,5.36,4,22.5,96,(Alturki et al. 2013),5,,129,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,5.00E-07,290.32,1,0.26,0.59,7.04,0.41,7, PA FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,10,1.3,18,0.9,,81,(Dong et al. 2022),6,,130,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,5.00E-07,236.27,0,1.89,2.45,13.94,0.37,7, PA FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,10,1.3,18,0.9,,74.6,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by ofiltration Membranes | Environmental Science & Technology (acs.org),131,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,5.00E-07,253.28,-1,-0.22,0.79,1.39,0.38,7, PA FO ,unmodified polyamide (PA) membrane,68.3,-19.5,MgCl2,95.21,2,10,1.3,18,0.9,,83,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by ofiltration Membranes | Environmental Science & Technology (acs.org),132,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,5.00E-07,290.32,1,0.26,0.59,7.04,0.41,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,10,1.3,27.5,1.1,,92.1,(Dong et al. 2022),6,,133,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,5.00E-07,236.27,0,1.89,2.45,13.94,0.37,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,10,1.3,27.5,1.1,,93.7,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by ofiltration Membranes | Environmental Science & Technology (acs.org),134,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,5.00E-07,253.28,-1,-0.22,0.79,1.39,0.38,7,CA-Na FO ,sodium citrate (CA-Na) modified membrane where Fe3+ was used here as a bridge to graft carboxylates to the PA surface.,43.8,-29.3,MgCl2,95.21,2,10,1.3,27.5,1.1,,96.7,(Dong et al. 2022),6,Pharmaceutical Retention Mechanisms by ofiltration Membranes | Environmental Science & Technology (acs.org),135,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,7.71,0.08,20,99.5,(Kim et al. 2017),7,,136,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,7.71,0.08,20,96.6,(Kim et al. 2017),7,,137,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,7.71,0.08,20,95.3,(Kim et al. 2017),7,,138,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,7.64,0.32,20,99.3,(Kim et al. 2017),7,,139,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,7.64,0.32,20,96.4,(Kim et al. 2017),7,,140,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,7.64,0.32,20,95.9,(Kim et al. 2017),7,,141,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,11.64,0.48,20,99.5,(Kim et al. 2017),7,,142,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,11.64,0.48,20,95.1,(Kim et al. 2017),7,,143,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,11.64,0.48,20,94.1,(Kim et al. 2017),7,,144,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,2,10,8.5,9.46,0.07,20,99.7,(Kim et al. 2017),7,,145,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,2,10,8.5,9.46,0.07,20,94.9,(Kim et al. 2017),7,,146,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,2,10,8.5,9.46,0.07,20,95.5,(Kim et al. 2017),7,,147,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,2,10,8.5,9.19,0.5,20,99.6,(Kim et al. 2017),7,,148,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,2,10,8.5,9.19,0.5,20,97.1,(Kim et al. 2017),7,,149,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,2,10,8.5,9.19,0.5,20,96.1,(Kim et al. 2017),7,,150,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,2,10,8.5,17.12,0.92,20,99.7,(Kim et al. 2017),7,,151,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,2,10,8.5,17.12,0.92,20,93.3,(Kim et al. 2017),7,,152,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,2,10,8.5,17.12,0.92,20,93.5,(Kim et al. 2017),7,,153,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,14.28,0.12,20,97.7,(Kim et al. 2017),7,,154,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,14.28,0.12,20,92.2,(Kim et al. 2017),7,,155,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Monoammonium Phosphate,115,1,10,8.5,14.28,0.12,20,90.6,(Kim et al. 2017),7,,156,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,16.18,0.26,20,99.2,(Kim et al. 2017),7,,157,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,16.18,0.26,20,98,(Kim et al. 2017),7,,158,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,Diammonium Phosphate,132.1,1,10,8.5,16.18,0.26,20,97.5,(Kim et al. 2017),7,,159,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.67,0.16,9.6,0.39,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,18.08,0.85,20,99.1,(Kim et al. 2017),7,,160,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,215.7,0,2.64,2.61,1.7,0.35,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,18.08,0.85,20,94.1,(Kim et al. 2017),7,,161,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194.2,0,-0.63,-0.07,10.4,0.33,8,HTI CTA FO,"fertilizer-drawn forward osmosis (FDFO), AL-FS (active layer facing FS)",64.5,,KCl,74.6,1,10,8.5,18.08,0.85,20,91.8,(Kim et al. 2017),7,,162,,,,,,,,,,,,,,,,,,
N-nitrosodimethylamine,Disinfection byproduct,1.00E-02,74,0,-0.5,-0.64,-3.63,0.24,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,30.6,(Xu et al. 2018),8,,163,,,,,,,,,,,,,,,,,,
N-nitrosomethylethylamine,Disinfection byproduct,1.00E-02,88,0,0.01,-0.15,-3.39,0.29,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,70.6,(Xu et al. 2018),8,,164,,,,,,,,,,,,,,,,,,
N-nitrosodiethylamine,Disinfection byproduct,1.00E-02,102,0,0.52,0.34,-3.14,0.33,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,85.8,(Xu et al. 2018),8,,165,,,,,,,,,,,,,,,,,,
N-Nitrosodipropylamine,Disinfection byproduct,1.00E-02,130,0,1.54,1.33,-3.18,0.36,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,94.3,(Xu et al. 2018),8,,166,,,,,,,,,,,,,,,,,,
N-nitrosodi-n-butylamine,Disinfection byproduct,1.00E-02,158,0,2.56,2.31,-3.14,0.41,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,99.7,(Xu et al. 2018),8,,167,,,,,,,,,,,,,,,,,,
N-nitrosopyrrolidine,Disinfection byproduct,1.00E-02,100,0,-0.09,0.23,-3.14,0.35,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,81.4,(Xu et al. 2018),8,,168,,,,,,,,,,,,,,,,,,
N-nitrosopiperidine,Disinfection byproduct,1.00E-02,114,0,0.44,0.72,-3.18,0.41,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,91.1,(Xu et al. 2018),8,,169,,,,,,,,,,,,,,,,,,
Chloroform,Disinfection byproduct,2.00E-02,119,0,1.94,1.97,15.7,0.33,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,34.2,(Xu et al. 2018),8,,170,,,,,,,,,,,,,,,,,,
Bromodichloromethane,Disinfection byproduct,2.00E-02,164,0,2.04,2,2.93,0.44,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,59.6,(Xu et al. 2018),8,,171,,,,,,,,,,,,,,,,,,
Dibromochloromethane,Disinfection byproduct,2.00E-02,208,0,2.21,2.16,1.7,0.46,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,78.9,(Xu et al. 2018),8,,172,,,,,,,,,,,,,,,,,,
Bromoform,Disinfection byproduct,2.00E-02,253,0,2.43,2.4,8.6,0.43,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,86.6,(Xu et al. 2018),8,,173,,,,,,,,,,,,,,,,,,
